Index,Quantity,Part Number,Manufacturer Part Number,Description,Link,Available,Backorder,Unit Price,Extended Price INR
1,10,2.2KEBK-ND,CFR-12JB-52-2K2,RES 2.2K OHM 5% 1/6W AXIAL,https://www.digikey.in/en/products/detail/yageo/CFR-12JB-52-2K2/3992,10,0,3.727, ₹37.27 
2,25,1.0KEBK-ND,CFR-12JB-52-1K,RES 1K OHM 5% 1/6W AXIAL,https://www.digikey.in/en/products/detail/yageo/CFR-12JB-52-1K/4000,25,0,3.0936, ₹77.34 
3,10,470EBK-ND,CFR-12JB-52-470R,RES 470 OHM 5% 1/6W AXIAL,https://www.digikey.in/en/products/detail/yageo/CFR-12JB-52-470R/4005,10,0,3.727, ₹37.27 
4,10,100EBK-ND,CFR-12JB-52-100R,RES 100 OHM 5% 1/6W AXIAL,https://www.digikey.in/en/products/detail/yageo/CFR-12JB-52-100R/4019,10,0,3.448, ₹34.48 
5,10,10KEBK-ND,CFR-12JB-52-10K,RES 10K OHM 5% 1/6W AXIAL,https://www.digikey.in/en/products/detail/yageo/CFR-12JB-52-10K/3977,10,0,3.634, ₹36.34 
6,10,220EBK-ND,CFR-12JB-52-220R,RES 220 OHM 5% 1/6W AXIAL,https://www.digikey.in/en/products/detail/yageo/CFR-12JB-52-220R/4013,10,0,3.727, ₹37.27 
7,10,33KEBK-ND,CFR-12JB-52-33K,RES 33K OHM 5% 1/6W AXIAL,https://www.digikey.in/en/products/detail/yageo/CFR-12JB-52-33K/3962,10,0,3.448, ₹34.48 
8,10,3.3KEBK-ND,CFR-12JB-52-3K3,RES 3.3K OHM 5% 1/6W AXIAL,https://www.digikey.in/en/products/detail/yageo/CFR-12JB-52-3K3/3989,10,0,3.448, ₹34.48 
9,10,399-6601-ND,ESK107M016AC3AA,CAP ALUM 100UF 20% 16V RADIAL TH,https://www.digikey.in/en/products/detail/yageo/CFR-25JR-52-270R/11960,10,0,10.064, ₹100.64 
10,10,445-8348-ND,FK16X7R1C106KR020,CAP CER 10UF 16V X7R RADIAL,https://www.digikey.in/en/products/detail/yageo/FMP100JR-52-330R/2058601,10,0,28.235, ₹282.35 
